model,regime,threshold,tp,fp,fn,tn,precision,recall,specificity,f1
LogReg_L1,fixed_0.5,0.5,3121,68133,1069,60284,0.043801049765627195,0.7448687350835322,0.4694394044402221,0.08273686442924555
LogReg_L1,best_F1,0.53799687588792,2791,29112,1399,99305,0.08748393568003009,0.666109785202864,0.7733010426968392,0.1546560274845538
LogReg_L1,recall>=0.90,0.4389333199417673,3771,108962,419,19455,0.03345071984245962,0.9,0.15149863335851171,0.06450398980525646
RandomForest,fixed_0.5,0.5,3521,11784,669,116633,0.23005553740607645,0.8403341288782816,0.9082364484452993,0.36122082585278276
RandomForest,best_F1,0.8940756998767213,2529,4765,1661,123652,0.34672333424732654,0.6035799522673031,0.962894320845371,0.4404388714733542
RandomForest,recall>=0.90,0.07978324585009725,3771,25480,419,102937,0.12891866944719838,0.9,0.801583902442823,0.22553153314793217
LightGBM,fixed_0.5,0.5,3722,13353,468,115064,0.21797950219619328,0.8883054892601432,0.896018439926178,0.35005878203620977
LightGBM,best_F1,0.9043911882894634,2658,5182,1532,123235,0.33903061224489794,0.6343675417661098,0.9596470872236542,0.4418952618453865
LightGBM,recall>=0.90,0.4101183702924866,3771,14124,419,114293,0.2107292539815591,0.9,0.8900145619349463,0.3414987548109576
XGBoost,fixed_0.5,0.5,3836,13797,354,114620,0.21754664549424374,0.9155131264916467,0.8925609537678033,0.3515556981166658
XGBoost,best_F1,0.9020789265632629,2685,5147,1505,123270,0.34282431052093976,0.6408114558472554,0.9599196368082108,0.4466810846780902
XGBoost,recall>=0.90,0.5673128366470337,3773,12972,417,115445,0.22532099134069872,0.9004773269689738,0.8989853368323508,0.3604490088368761
