model,regime,threshold,tp,fp,fn,tn,precision,recall,specificity,f1
LogReg_L1,fixed_0.5,0.5,3121,68133,1069,60284,0.043801049765627195,0.7448687350835322,0.4694394044402221,0.08273686442924555
LogReg_L1,best_F1,0.5379966480619858,2791,29112,1399,99305,0.08748393568003009,0.666109785202864,0.7733010426968392,0.1546560274845538
LogReg_L1,recall>=0.90,0.4389341716412247,3771,108962,419,19455,0.03345071984245962,0.9,0.15149863335851171,0.06450398980525646
RandomForest,fixed_0.5,0.5,3528,11786,662,116631,0.23037743241478387,0.8420047732696897,0.9082208741833246,0.36177194421657094
RandomForest,best_F1,0.8940756998767213,2531,4764,1659,123653,0.346949965729952,0.6040572792362768,0.9629021079763582,0.4407488027862429
RandomForest,recall>=0.90,0.08241964066889128,3771,25292,419,103125,0.1297526064067715,0.9,0.8030478830684411,0.2268066039154362
LightGBM,fixed_0.5,0.5,3722,13353,468,115064,0.21797950219619328,0.8883054892601432,0.896018439926178,0.35005878203620977
LightGBM,best_F1,0.9043911882894639,2658,5182,1532,123235,0.33903061224489794,0.6343675417661098,0.9596470872236542,0.4418952618453865
LightGBM,recall>=0.90,0.4101183702924866,3771,14124,419,114293,0.2107292539815591,0.9,0.8900145619349463,0.3414987548109576
XGBoost,fixed_0.5,0.5,3795,13690,395,114727,0.21704317986845867,0.905727923627685,0.8933941767834477,0.3501730103806228
XGBoost,best_F1,0.8994536399841309,2701,5193,1489,123224,0.34215860146947047,0.6446300715990454,0.9595614287827936,0.4470374048328368
XGBoost,recall>=0.90,0.5400652885437012,3771,13251,419,115166,0.2215368346845259,0.9,0.8968127272868857,0.35555346030548746
